id,type,lat,lon,name,access,capacity,fee,city,state
224312689,way,33.5588879,-112.1878929,Parking 224312689,customers,unknown,unknown,Phoenix,Arizona
224312694,way,33.5587801,-112.1874946,Parking 224312694,customers,unknown,unknown,Phoenix,Arizona
224312697,way,33.5587908,-112.1870454,Parking 224312697,customers,unknown,unknown,Phoenix,Arizona
224313025,way,33.5592859,-112.1866836,Parking 224313025,customers,unknown,unknown,Phoenix,Arizona
224313026,way,33.5595024,-112.1867118,Parking 224313026,customers,unknown,unknown,Phoenix,Arizona
224313027,way,33.5592308,-112.186823,Parking 224313027,customers,unknown,unknown,Phoenix,Arizona
224313382,way,33.5601939,-112.1867166,Parking 224313382,customers,unknown,unknown,Phoenix,Arizona
224313384,way,33.5599803,-112.1866885,Parking 224313384,customers,unknown,unknown,Phoenix,Arizona
224313386,way,33.5597668,-112.1867149,Parking 224313386,customers,unknown,unknown,Phoenix,Arizona
224693625,way,33.5833977,-111.9667903,Parking 224693625,unknown,unknown,unknown,Phoenix,Arizona
224706954,way,33.5340905,-112.2596405,Lot 7,customers,unknown,no,Phoenix,Arizona
225643465,way,33.4770788,-112.0576335,Parking 225643465,unknown,unknown,unknown,Phoenix,Arizona
225643467,way,33.4794397,-112.0580203,Parking 225643467,unknown,unknown,unknown,Phoenix,Arizona
225643468,way,33.4784998,-112.0568776,Parking 225643468,unknown,unknown,unknown,Phoenix,Arizona
225763836,way,33.2646832,-111.9923057,Parking 225763836,customers,unknown,no,Phoenix,Arizona
225763906,way,33.48822,-112.0907952,Parking 225763906,unknown,unknown,unknown,Phoenix,Arizona
225977459,way,33.4883114,-112.0881979,Parking 225977459,unknown,unknown,unknown,Phoenix,Arizona
226044652,way,33.4911216,-112.0879979,Parking 226044652,unknown,unknown,unknown,Phoenix,Arizona
226044653,way,33.4902837,-112.0889644,Parking 226044653,unknown,unknown,unknown,Phoenix,Arizona
226213896,way,33.5061441,-112.0877733,Parking 226213896,unknown,unknown,unknown,Phoenix,Arizona
226336805,way,33.5070902,-112.0870922,Parking 226336805,unknown,unknown,unknown,Phoenix,Arizona
226337836,way,33.507571,-112.0873757,Parking 226337836,unknown,unknown,unknown,Phoenix,Arizona
226339227,way,33.5239873,-112.0469859,Parking 226339227,unknown,unknown,unknown,Phoenix,Arizona
226917894,way,33.4688086,-111.9163822,Parking 226917894,unknown,22,unknown,Phoenix,Arizona
230610118,way,33.5814486,-112.2581556,Parking 230610118,unknown,unknown,unknown,Phoenix,Arizona
230610119,way,33.5818345,-112.2564531,Parking 230610119,unknown,unknown,unknown,Phoenix,Arizona
230610120,way,33.581172,-112.2573866,Parking 230610120,unknown,unknown,unknown,Phoenix,Arizona
230614670,way,33.5779059,-112.2571948,Parking 230614670,unknown,unknown,unknown,Phoenix,Arizona
230614672,way,33.579358,-112.2559848,Parking 230614672,unknown,unknown,unknown,Phoenix,Arizona
230614674,way,33.574932,-112.2555896,Parking 230614674,unknown,unknown,unknown,Phoenix,Arizona
230614675,way,33.5763435,-112.2562788,Parking 230614675,unknown,unknown,unknown,Phoenix,Arizona
230614676,way,33.5779635,-112.2559901,Parking 230614676,unknown,unknown,unknown,Phoenix,Arizona
230614677,way,33.573214,-112.2554746,Parking 230614677,unknown,unknown,unknown,Phoenix,Arizona
230614678,way,33.5725205,-112.2561701,Parking 230614678,unknown,unknown,unknown,Phoenix,Arizona
234851438,way,33.5658023,-112.107584,Parking 234851438,unknown,unknown,unknown,Phoenix,Arizona
234865147,way,33.5669891,-112.1065166,Parking 234865147,unknown,unknown,unknown,Phoenix,Arizona
235250565,way,33.554792,-112.1942761,Parking 235250565,customers,unknown,unknown,Phoenix,Arizona
235250566,way,33.5548287,-112.1922508,Parking 235250566,customers,unknown,unknown,Phoenix,Arizona
235250567,way,33.5548031,-112.1936184,Parking 235250567,customers,unknown,unknown,Phoenix,Arizona
237975701,way,33.6389663,-112.0366868,Parking 237975701,unknown,unknown,unknown,Phoenix,Arizona
237975720,way,33.6382545,-112.0387347,Parking 237975720,unknown,unknown,unknown,Phoenix,Arizona
238271167,way,33.3727152,-112.2059347,Parking 238271167,unknown,unknown,no,Phoenix,Arizona
238271168,way,33.3717576,-112.2045866,Parking 238271168,unknown,unknown,no,Phoenix,Arizona
241072959,way,33.5386271,-112.2186141,Parking 241072959,customers,unknown,no,Phoenix,Arizona
241198297,way,33.6776358,-112.0294951,Parking 241198297,unknown,unknown,unknown,Phoenix,Arizona
241441765,way,33.5781857,-112.1867998,Parking 241441765,unknown,2,unknown,Phoenix,Arizona
241441853,way,33.5793737,-112.1886844,Parking 241441853,unknown,unknown,unknown,Phoenix,Arizona
241792672,way,33.5380356,-112.095206,Parking 241792672,unknown,unknown,no,Phoenix,Arizona
241792678,way,33.5380173,-112.0943893,Parking 241792678,unknown,unknown,no,Phoenix,Arizona
241843319,way,33.6585235,-112.1855271,Parking 241843319,unknown,unknown,unknown,Phoenix,Arizona
241843724,way,33.6582047,-112.1823392,Parking 241843724,unknown,unknown,unknown,Phoenix,Arizona
241845084,way,33.6596575,-112.1848627,Clinic Parking Garage,unknown,unknown,unknown,Phoenix,Arizona
241847487,way,33.6645951,-112.180396,Parking 241847487,unknown,unknown,unknown,Phoenix,Arizona
241859326,way,33.6697223,-112.1879588,Parking 241859326,yes,unknown,no,Phoenix,Arizona
242171632,way,33.633561,-111.9289593,Parking 242171632,unknown,unknown,unknown,Phoenix,Arizona
242779487,way,33.6400544,-112.0210115,Parking 242779487,unknown,unknown,no,Phoenix,Arizona
242796972,way,33.6078855,-112.1797147,South Tower Parking Garage,permissive,unknown,no,Phoenix,Arizona
242874209,way,33.6477644,-112.2864153,Parking 242874209,unknown,unknown,unknown,Phoenix,Arizona
242896619,way,33.6482184,-112.2752595,Parking 242896619,unknown,unknown,unknown,Phoenix,Arizona
242896620,way,33.6475725,-112.2745818,Parking 242896620,unknown,unknown,unknown,Phoenix,Arizona
242898250,way,33.4462965,-112.0947236,Parking 242898250,unknown,unknown,unknown,Phoenix,Arizona
243432092,way,33.6569843,-112.1823113,Parking 243432092,unknown,unknown,unknown,Phoenix,Arizona
243700347,way,33.6068071,-112.1571156,Parking 243700347,unknown,unknown,unknown,Phoenix,Arizona
243723380,way,33.7859698,-111.9791296,Parking 243723380,unknown,9,no,Phoenix,Arizona
243875565,way,33.592684,-112.1141127,Parking 243875565,unknown,10,no,Phoenix,Arizona
244279275,way,33.6119355,-112.0963036,Student Parking Lot,unknown,unknown,unknown,Phoenix,Arizona
244279276,way,33.6130617,-112.095315,Faculty Parking Lot,unknown,unknown,unknown,Phoenix,Arizona
245191707,way,33.6484207,-112.0824113,Parking 245191707,unknown,unknown,no,Phoenix,Arizona
245373443,way,33.7651513,-111.99324,Parking 245373443,unknown,32,no,Phoenix,Arizona
245743527,way,33.6755421,-111.966517,Parking 245743527,unknown,unknown,unknown,Phoenix,Arizona
245992186,way,33.4035637,-112.014925,Parking 245992186,unknown,unknown,unknown,Phoenix,Arizona
246683568,way,33.6083273,-112.0979409,Parking 246683568,unknown,unknown,no,Phoenix,Arizona
247370929,way,33.7915232,-111.9574133,Parking 247370929,unknown,unknown,unknown,Phoenix,Arizona
247370930,way,33.7915944,-111.954153,Parking 247370930,unknown,unknown,unknown,Phoenix,Arizona
247370933,way,33.7896627,-111.9599712,Parking 247370933,unknown,unknown,unknown,Phoenix,Arizona
247370940,way,33.7894376,-111.9541014,Parking 247370940,unknown,unknown,unknown,Phoenix,Arizona
247651925,way,33.7729359,-111.9528883,Parking 247651925,unknown,unknown,unknown,Phoenix,Arizona
247913911,way,33.7970089,-111.9527004,Parking 247913911,unknown,unknown,unknown,Phoenix,Arizona
247913917,way,33.7865462,-111.954048,Parking 247913917,unknown,unknown,unknown,Phoenix,Arizona
247913918,way,33.7961156,-111.9535901,Parking 247913918,unknown,unknown,unknown,Phoenix,Arizona
247913920,way,33.7985603,-111.9512444,Parking 247913920,unknown,unknown,unknown,Phoenix,Arizona
247913921,way,33.7966389,-111.9543494,Parking 247913921,unknown,unknown,unknown,Phoenix,Arizona
248867692,way,33.5701823,-112.1929003,Parking 248867692,unknown,unknown,unknown,Phoenix,Arizona
248896761,way,33.7677872,-112.0468219,Equestrian Trailer Parking,yes,unknown,no,Phoenix,Arizona
249131933,way,33.7673116,-112.0454065,Parking 249131933,yes,unknown,no,Phoenix,Arizona
249131935,way,33.7675229,-112.0453761,Parking 249131935,yes,unknown,no,Phoenix,Arizona
249131936,way,33.767789,-112.0449908,Parking 249131936,yes,unknown,no,Phoenix,Arizona
250822922,way,33.5149818,-111.9247744,Parking 250822922,unknown,unknown,unknown,Phoenix,Arizona
250822923,way,33.5143557,-111.9257339,Parking 250822923,unknown,unknown,unknown,Phoenix,Arizona
250822924,way,33.5163812,-111.9255897,Parking 250822924,unknown,unknown,unknown,Phoenix,Arizona
250861053,way,33.5260408,-111.9250301,Parking 250861053,unknown,unknown,unknown,Phoenix,Arizona
250863779,way,33.5292112,-111.9249887,Parking 250863779,unknown,unknown,unknown,Phoenix,Arizona
250863784,way,33.5281452,-111.9250371,Parking 250863784,unknown,unknown,unknown,Phoenix,Arizona
250863786,way,33.5286119,-111.9243853,Parking 250863786,unknown,unknown,unknown,Phoenix,Arizona
250865572,way,33.5307874,-111.9245791,Parking 250865572,unknown,unknown,unknown,Phoenix,Arizona
250865573,way,33.530058,-111.924502,Parking 250865573,unknown,unknown,unknown,Phoenix,Arizona
250865574,way,33.531113,-111.9233147,Parking 250865574,unknown,unknown,unknown,Phoenix,Arizona
250874913,way,33.511817,-111.9248253,Parking 250874913,unknown,unknown,unknown,Phoenix,Arizona
250874946,way,33.5105099,-111.9228687,Parking 250874946,unknown,unknown,unknown,Phoenix,Arizona
251815081,way,33.4957819,-111.9164737,Parking 251815081,unknown,unknown,unknown,Phoenix,Arizona
251815082,way,33.5001932,-111.9235125,Galleria Parking Garage,unknown,327,no,Phoenix,Arizona
251815100,way,33.4956812,-111.9206271,Parking 251815100,unknown,unknown,unknown,Phoenix,Arizona
251817736,way,33.4920345,-111.9168507,Parking 251817736,unknown,unknown,unknown,Phoenix,Arizona
